SDS 2.3	AQ Results	1.0
Filename	pl3_08.10.2014_KK_cDNA_384H
PlateID	
Assay Type	Absolute Quantification
Run DateTime	10/8/14 11:25:38 AM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
55	121+122p1	Stanley	FAM	Unknown	24.670088							Automatic			Manual	0.14585054													
79	121+122p2	Stanley	FAM	Unknown	24.586895							Automatic			Manual	0.14585054													
103	124+125p1	Stanley	FAM	Unknown	24.580746							Automatic			Manual	0.14585054													
127	124+125p2	Stanley	FAM	Unknown	24.708239							Automatic			Manual	0.14585054													
151	127+128p1	Stanley	FAM	Unknown	24.723286							Automatic			Manual	0.14585054													
175	127+128p2	Stanley	FAM	Unknown	24.749088							Automatic			Manual	0.14585054													
102	14p1	Stanley	FAM	Unknown	24.981506							Automatic			Manual	0.14585054													
126	14p2	Stanley	FAM	Unknown	25.048927							Automatic			Manual	0.14585054													
54	16p1	Stanley	FAM	Unknown	24.9083							Automatic			Manual	0.14585054													
78	16p2	Stanley	FAM	Unknown	24.831009							Automatic			Manual	0.14585054													
6	18p1	Stanley	FAM	Unknown	24.88414							Automatic			Manual	0.14585054													
30	18p2	Stanley	FAM	Unknown	24.953102							Automatic			Manual	0.14585054													
246	32p1	Stanley	FAM	Unknown	24.953854							Automatic			Manual	0.14585054													
270	32p2	Stanley	FAM	Unknown	24.935507							Automatic			Manual	0.14585054													
198	34p1	Stanley	FAM	Unknown	25.029291							Automatic			Manual	0.14585054													
222	34p2	Stanley	FAM	Unknown	24.98118							Automatic			Manual	0.14585054													
150	36p1	Stanley	FAM	Unknown	25.21559							Automatic			Manual	0.14585054													
174	36p2	Stanley	FAM	Unknown	25.133036							Automatic			Manual	0.14585054													
7	50p1	Stanley	FAM	Unknown	24.445276							Automatic			Manual	0.14585054													
31	50p2	Stanley	FAM	Unknown	24.380198							Automatic			Manual	0.14585054													
342	52p1	Stanley	FAM	Unknown	24.334913							Automatic			Manual	0.14585054													
366	52p2	Stanley	FAM	Unknown	24.37749							Automatic			Manual	0.14585054													
294	54p1	Stanley	FAM	Unknown	24.470694							Automatic			Manual	0.14585054													
318	54p2	Stanley	FAM	Unknown	24.372946							Automatic			Manual	0.14585054													
295	55p1	Stanley	FAM	Unknown	25.609617							Automatic			Manual	0.14585054													
319	55p2	Stanley	FAM	Unknown	25.56259							Automatic			Manual	0.14585054													
247	58p1	Stanley	FAM	Unknown	25.289907							Automatic			Manual	0.14585054													
271	58p2	Stanley	FAM	Unknown	25.124712							Automatic			Manual	0.14585054													
199	60p1	Stanley	FAM	Unknown	25.507269							Automatic			Manual	0.14585054													
