SDS 2.3	AQ Results	1.0
Filename	p1_07_10_2014_KK_cDNA_384H cz3
PlateID	
Assay Type	Absolute Quantification
Run DateTime	10/7/14 2:21:09 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
60	121+122p1	Stanley	FAM	Unknown	27.55348							Automatic			Manual	0.14071143													
84	121+122p2	Stanley	FAM	Unknown	27.479536							Automatic			Manual	0.14071143													
108	124+125p1	Stanley	FAM	Unknown	27.417091							Automatic			Manual	0.14071143													
132	124+125p2	Stanley	FAM	Unknown	27.561283							Automatic			Manual	0.14071143													
156	127+128p1	Stanley	FAM	Unknown	27.86445							Automatic			Manual	0.14071143													
180	127+128p2	Stanley	FAM	Unknown	27.856121							Automatic			Manual	0.14071143													
107	14p1	Stanley	FAM	Unknown	28.127905							Automatic			Manual	0.14071143													
131	14p2	Stanley	FAM	Unknown	28.194761							Automatic			Manual	0.14071143													
59	16p1	Stanley	FAM	Unknown	28.212727							Automatic			Manual	0.14071143													
83	16p2	Stanley	FAM	Unknown	28.143744							Automatic			Manual	0.14071143													
11	18p1	Stanley	FAM	Unknown	28.222504							Automatic			Manual	0.14071143													
35	18p2	Stanley	FAM	Unknown	28.194923							Automatic			Manual	0.14071143													
251	32p1	Stanley	FAM	Unknown	28.709639							Automatic			Manual	0.14071143													
275	32p2	Stanley	FAM	Unknown	28.760704							Automatic			Manual	0.14071143													
203	34p1	Stanley	FAM	Unknown	28.687483							Automatic			Manual	0.14071143													
227	34p2	Stanley	FAM	Unknown	28.766138							Automatic			Manual	0.14071143													
155	36p1	Stanley	FAM	Unknown	28.977627							Automatic			Manual	0.14071143													
179	36p2	Stanley	FAM	Unknown	28.910784							Automatic			Manual	0.14071143													
12	50p1	Stanley	FAM	Unknown	29.94281							Automatic			Manual	0.14071143													
36	50p2	Stanley	FAM	Unknown	29.73085							Automatic			Manual	0.14071143													
347	52p1	Stanley	FAM	Unknown	29.90784							Automatic			Manual	0.14071143													
371	52p2	Stanley	FAM	Unknown	29.992865							Automatic			Manual	0.14071143													
299	54p1	Stanley	FAM	Unknown	29.781258							Automatic			Manual	0.14071143													
323	54p2	Stanley	FAM	Unknown	29.9199							Automatic			Manual	0.14071143													
300	55p1	Stanley	FAM	Unknown	29.952824							Automatic			Manual	0.14071143													
324	55p2	Stanley	FAM	Unknown	29.938747							Automatic			Manual	0.14071143													
252	58p1	Stanley	FAM	Unknown	28.574034							Automatic			Manual	0.14071143													
276	58p2	Stanley	FAM	Unknown	28.604565							Automatic			Manual	0.14071143													
204	60p1	Stanley	FAM	Unknown	29.372166							Automatic			Manual	0.14071143													
228	60p2	Stanley	FAM	Unknown	29.325396							Automatic			Manual	0.14071143													
61	62p1	Stanley	FAM	Unknown	32.604515							Automatic			Manual	0.14071143													
85	62p2	Stanley	FAM	Unknown	32.602413							Automatic			Manual	0.14071143													
13	64p1	Stanley	FAM	Unknown	34.118023							Automatic			Manual	0.14071143													
37	64p2	Stanley	FAM	Unknown	33.735455							Automatic			Manual	0.14071143													
348	66p1	Stanley	FAM	Unknown	32.558903							Automatic			Manual	0.14071143													
372	66p2	Stanley	FAM	Unknown	32.612133							Automatic			Manual	0.14071143													
205	67p1	Stanley	FAM	Unknown	29.5756							Automatic			Manual	0.14071143													
229	67p2	Stanley	FAM	Unknown	29.513655							Automatic			Manual	0.14071143													
157	70p1	Stanley	FAM	Unknown	29.191648							Automatic			Manual	0.14071143													
181	70p2	Stanley	FAM	Unknown	29.290277							Automatic			Manual	0.14071143													
109	71p1	Stanley	FAM	Unknown	29.468409							Automatic			Manual	0.14071143													
